frame_idx,timestamp,az,el
140,00:40:50.473362,-1.9804667,1.3760622
141,00:40:50.492160,-1.9692304,1.3765874
142,00:40:50.510360,-1.9746153,1.3789917
143,00:40:50.528577,-1.9746859,1.3752656
144,00:40:50.545385,-1.9590809,1.392518
145,00:40:50.563596,-1.9928973,1.3894401
146,00:40:50.581677,-1.980322,1.3832804
147,00:40:50.598465,-1.9763312,1.3899629
148,00:40:50.615053,-1.9591963,1.3810239
149,00:40:50.631014,-1.9672642,1.3809054
150,00:40:50.647994,-1.9667253,1.3834039
151,00:40:50.665751,-1.9622718,1.393815
152,00:40:50.682759,-1.9567329,1.3994908
153,00:40:50.699934,-1.9579448,1.41153
154,00:40:50.717381,-1.9586751,1.3979297
155,00:40:50.734855,-1.9754417,1.3829464
156,00:40:50.751673,-1.965137,1.3814542
157,00:40:50.768269,-1.9566927,1.3805305
158,00:40:50.785933,-1.9805952,1.3757455
159,00:40:50.804063,-1.9836161,1.3922502
160,00:40:50.820651,-1.9828373,1.3848519
161,00:40:50.837590,-1.9835848,1.3897836
162,00:40:50.853880,-1.9879587,1.3784138
163,00:40:50.870861,-1.965725,1.3904989
164,00:40:50.887665,-1.9715316,1.3895831
165,00:40:50.904186,-1.9742842,1.3848772
166,00:40:50.920357,-1.9632306,1.3640742
167,00:40:50.937569,-1.9686224,1.3850626
168,00:40:50.954340,-1.9729735,1.390867
169,00:40:50.971438,-1.9594574,1.3977637
170,00:40:50.988451,-1.9586709,1.4033692
171,00:40:51.005177,-1.9728489,1.391466
172,00:40:51.022220,-1.9931632,1.387596
173,00:40:51.039018,-1.9679004,1.3824472
174,00:40:51.056481,-1.9730637,1.380587
175,00:40:51.074075,-1.9828602,1.3864989
176,00:40:51.091364,-1.9901628,1.3879187
177,00:40:51.108984,-1.9780165,1.3952618
178,00:40:51.126757,-1.9743681,1.3779426
179,00:40:51.145046,-1.9853187,1.3809661
180,00:40:51.163748,-1.9795138,1.3647194
181,00:40:51.181829,-1.9666927,1.3930845
182,00:40:51.199950,-1.9699459,1.3944405
183,00:40:51.217720,-1.9670838,1.3929396
184,00:40:51.235702,-1.9646397,1.4056194
185,00:40:51.252532,-1.9836586,1.3892167
186,00:40:51.270077,-1.9686896,1.3896047
187,00:40:51.287087,-1.9762506,1.3724933
188,00:40:51.305591,-1.9763443,1.3787652
189,00:40:51.323261,-1.9603238,1.3866231
190,00:40:51.341120,-1.9502068,1.3973671
191,00:40:51.359203,-1.9458752,1.3915838
192,00:40:51.377595,-1.9492989,1.390494
193,00:40:51.395840,-1.969573,1.3905199
194,00:40:51.414037,-1.9596272,1.3968475
195,00:40:51.432282,-1.982744,1.3828728
196,00:40:51.450745,-1.976639,1.3898976
197,00:40:51.468515,-1.9592276,1.3839141
198,00:40:51.487110,-1.9650127,1.3839875
199,00:40:51.506500,-1.955088,1.3907137
200,00:40:51.524929,-1.970849,1.3756398
201,00:40:51.544296,-1.9782068,1.3836834
202,00:40:51.563484,-1.9626198,1.3913423
203,00:40:51.581472,-1.9726429,1.390471
204,00:40:51.599799,-1.9823459,1.3842046
205,00:40:51.617205,-1.9765646,1.3771567
206,00:40:51.635472,-1.9802204,1.3788347
207,00:40:51.653265,-1.9831533,1.375409
208,00:40:51.671077,-1.9661543,1.3915677
209,00:40:51.689467,-1.9654267,1.3985233
210,00:40:51.707315,-1.9630934,1.3728215
211,00:40:51.725720,-2.0018046,1.3840282
212,00:40:51.744546,-1.9810508,1.3905513
213,00:40:51.763527,-1.9618096,1.3855844
214,00:40:51.781745,-1.9625686,1.3948424
215,00:40:51.800041,-1.9588569,1.3955665
216,00:40:51.817571,-1.9706279,1.3781565
217,00:40:51.835967,-1.9832093,1.3812065
218,00:40:51.854254,-1.9631369,1.3867538
219,00:40:51.872484,-1.968013,1.3853112
220,00:40:51.890719,-1.9736819,1.3921402
221,00:40:51.908792,-1.9615898,1.386549
222,00:40:51.927253,-1.9534053,1.3832037
223,00:40:51.945876,-1.9650576,1.3871981
224,00:40:51.964908,-1.9693968,1.3867259
225,00:40:51.982623,-1.9590328,1.3959954
226,00:40:52.000560,-1.9571092,1.3738611
227,00:40:52.019317,-1.9507239,1.3773768
228,00:40:52.037821,-1.9662427,1.3876936
229,00:40:52.056074,-1.953003,1.3929129
230,00:40:52.073979,-1.9615138,1.3841379
231,00:40:52.092761,-1.9676036,1.3678418
232,00:40:52.110350,-1.9665725,1.3842696
233,00:40:52.127336,-1.9809942,1.3753698
234,00:40:52.145317,-1.9632934,1.3820572
